#{"t_start": 1525356790.6065857, "env_id": "RockSample"}
r,l,t
-13.609326,1000,355.795927
5.923963,823,357.237295
-5.965272,1000,359.684077
-49.69417,732,361.330228
-8.652702,1000,363.412583
-96.298033,894,364.961303
-93.692307,1000,366.659611
-16.982995,1000,368.889881
-4.556481,1000,370.471209
16.299573,1000,372.651791
-37.708797,1000,375.167382
33.996277,1000,378.452322
-15.206465,845,380.486023
-14.287206,1000,382.571327
-51.575765,1000,384.112294
-102.537767,1000,386.155703
-6.043599,1000,388.015416
-15.874765,674,388.690815
-20.491649,1000,391.356808
-50.529749,902,393.163364
14.894142,1000,395.339069
-42.737957,965,397.028744
-18.70476,1000,400.109068
-52.752057,810,401.690209
-22.155814,905,403.689515
-40.33681,1000,405.66631
23.862921,1000,407.463835
-50.782649,888,408.541101
-81.107654,1000,443.441164
-10.005132,749,457.495051
6.088164,1000,459.448304
-181.747258,833,460.698327
-20.572869,1000,462.869881
-114.819096,619,464.158873
-12.677073,1000,466.462714
16.549045,1000,469.490061
-42.618119,752,471.190066
-0.727041,609,471.96424
-30.386673,1000,474.246249
-19.098171,1000,476.701952
-11.948317,1000,479.33036
19.137144,1000,481.682764
-6.938235,719,482.867141
30.796576,1000,484.45754
-28.530604,754,485.914278
-69.420335,1000,489.237859
-11.625285,1000,491.901128
-157.11396,648,493.19458
-11.144759,1000,495.165686
-21.364687,1000,497.957191
-5.588985,1000,499.757303
7.611871,669,500.887447
33.136102,1000,503.37561
-317.695913,886,504.523819
-44.860792,857,506.174839
41.124806,1000,508.840978
-17.198604,1000,510.697349
13.834344,1000,512.455184
9.595404,1000,514.367795
-35.570275,1000,516.822194
-125.626912,723,518.318396
-209.204889,670,519.028789
-54.99774,1000,521.235317
-50.970862,846,522.630113
-4.991588,895,524.838539
-6.840948,1000,527.570924
-75.932772,831,528.726691
-72.779492,818,530.289106
-156.739736,572,531.062038
-77.082508,1000,532.805851
-5.227138,661,534.057057
-150.943896,628,534.990752
-80.938234,1000,536.533098
-86.744024,1000,539.706942
-107.648212,1000,541.464595
-23.686962,1000,543.115352
13.030591,1000,545.172849
-97.400409,1000,546.85648
-39.104631,1000,548.932934
-80.282874,1000,550.74826
