nupdates,Name,clipfrac,serial_timesteps,total_timesteps,EpLenMean,trial,value_loss,loss_ent,explained_variance,fps,policy_loss,approxkl,EpRewMean,time_elapsed,Iteration
61,PP02-awake,0.071582034,124928,124928,965.49,0,0.0015907803,2.1557186,0.6386975347995758,512,-0.0066364207,0.006162136,-47.810221,244.08954310417175,61
62,PP02-awake,0.09692383,126976,126976,965.49,0,0.0006378837,2.128979,0.8920021504163742,484,-0.004206222,0.007544826,-47.38007879,248.31621718406677,62
63,PP02-awake,0.11098633,129024,129024,965.49,0,0.00032715758,2.1062045,0.9101689606904984,581,-0.0059051747,0.008132884,-47.72566018999999,251.8402190208435,63
64,PP02-awake,0.06987305,131072,131072,965.49,0,0.00038266755,2.098747,0.8523472100496292,493,-0.0038447832,0.0057663424,-49.20930574,255.99189925193787,64
65,PP02-awake,0.06665039,133120,133120,961.27,0,0.0003936606,2.110063,0.87582578510046,535,-0.0057116007,0.005510734,-49.130569990000005,259.81813287734985,65
66,PP02-awake,0.08637695,135168,135168,948.23,0,0.0069330647,2.1286232,0.6319308280944824,630,-0.003847133,0.0068678195,-50.21722789,263.0646162033081,66
67,PP02-awake,0.057763673,137216,137216,951.05,0,0.00064293225,2.1318874,0.9187091216444969,482,-0.0020118114,0.005073888,-47.475999649999984,267.3124940395355,67
68,PP02-awake,0.09609375,139264,139264,950.9,0,0.0033388801,2.1312165,0.7926394790410995,513,-0.002410445,0.0072260434,-52.144161860000004,271.3048186302185,68
69,PP02-awake,0.11381836,141312,141312,950.9,0,0.0004048228,2.131851,0.9042188003659248,521,-0.0046937945,0.008518541,-54.435719899999995,275.23550152778625,69
70,PP02-awake,0.06689453,143360,143360,950.9,0,0.00032840768,2.1021972,0.9213316291570663,460,-0.004721103,0.0060775382,-55.12669038999999,279.6866478919983,70
71,PP02-awake,0.070166014,145408,145408,950.9,0,0.0005396992,2.0686374,0.788396343588829,333,-0.002501918,0.006120679,-56.861844770000005,285.83052253723145,71
72,PP02-awake,0.08481445,147456,147456,950.9,0,0.00058647786,2.053898,0.7982438951730728,457,-0.0061014676,0.0065141297,-57.91155907,290.3081798553467,72
73,PP02-awake,0.0925293,149504,149504,946.87,0,0.0070667528,2.0510993,0.2818315625190735,606,-0.006318075,0.008426706,-60.106906849999994,293.68404960632324,73
74,PP02-awake,0.060058594,151552,151552,946.87,0,0.0003689849,2.0502367,0.9012321308255196,516,-0.00069350767,0.005106249,-61.494586330000004,297.6490571498871,74
75,PP02-awake,0.076171875,153600,153600,948.21,0,0.00040542614,2.0355883,0.8954968377947807,540,-0.0050439266,0.0062723244,-62.86735739000001,301.436411857605,75
76,PP02-awake,0.078027345,155648,155648,948.21,0,0.0003151397,2.0294256,0.9094770401716232,443,-0.004656377,0.0062124687,-63.863671970000006,306.0519211292267,76
77,PP02-awake,0.07817383,157696,157696,948.21,0,0.0006563206,2.0300639,0.8501930683851242,429,-0.0038353025,0.0063544093,-64.92882976,310.81536984443665,77
78,PP02-awake,0.060009766,159744,159744,948.21,0,0.0002494555,2.0227292,0.9568954817950726,563,-0.0019094063,0.005269185,-65.32034247,314.44815135002136,78
79,PP02-awake,0.07890625,161792,161792,948.21,0,0.00025859024,2.0107148,0.9570869766175747,436,-0.0028343354,0.006441798,-67.28343980000001,319.14226055145264,79
80,PP02-awake,0.09467773,163840,163840,946.11,0,0.00037752785,1.9867243,0.9237640872597694,450,-0.005620984,0.007533212,-67.4281025,323.68664050102234,80
81,PP02-awake,0.08549805,165888,165888,946.49,0,0.00055420253,1.9638882,0.8665039092302322,564,-0.0038990215,0.0068486542,-66.07974275999999,327.31758642196655,81
82,PP02-awake,0.10234375,167936,167936,946.49,0,0.00021229472,1.9448586,0.9718269519507885,549,-0.0054696384,0.0075785234,-67.01224941,331.04849672317505,82
83,PP02-awake,0.09072266,169984,169984,936.95,0,0.003960804,1.9543667,0.6423664689064026,544,-0.005995019,0.007119081,-67.84624174999999,334.81317591667175,83
84,PP02-awake,0.061279297,172032,172032,935.36,0,0.0007383664,1.964598,0.8779558092355728,396,-0.0029416936,0.005255483,-66.14514306,339.97236824035645,84
85,PP02-awake,0.07553711,174080,174080,935.36,0,0.00083826913,1.9462335,0.8811766281723976,447,-0.0028618383,0.0060985414,-64.62332814,344.5461645126343,85
86,PP02-awake,0.058984376,176128,176128,935.36,0,0.00040248182,1.9437389,0.9208832904696465,446,-0.004641033,0.0051390217,-64.72112721999999,349.13559460639954,86
87,PP02-awake,0.095214844,178176,178176,935.36,0,0.0005396205,1.9381876,0.8868619352579117,417,-0.002357208,0.00842581,-64.58502649,354.04474210739136,87
88,PP02-awake,0.08510742,180224,180224,936.46,0,0.0002811747,1.9054947,0.9596154242753983,416,-0.0035862748,0.007307359,-62.48685195,358.9620747566223,88
89,PP02-awake,0.08085938,182272,182272,937.27,0,0.0003428193,1.8800776,0.8842912316322327,453,-0.0052139666,0.006346113,-60.64025567000001,363.47947883605957,89
90,PP02-awake,0.07817383,184320,184320,936.21,0,0.0015124094,1.8838882,0.7591061443090439,587,-0.011126785,0.006506066,-62.01268776,366.9681465625763,90
91,PP02-awake,0.05214844,186368,186368,936.21,0,0.00046027295,1.891099,0.9267079085111618,525,-0.0033291834,0.0046875724,-61.94885587000001,370.86921977996826,91
92,PP02-awake,0.058154296,188416,188416,936.21,0,0.0003704002,1.8787425,0.9198214635252953,417,-0.0019287579,0.005042738,-61.54294236999999,375.7757349014282,92
93,PP02-awake,0.09428711,190464,190464,935.5,0,0.0002662854,1.8545904,0.9368996918201447,366,-0.006870357,0.0075089782,-59.61447279,381.3605818748474,93
94,PP02-awake,0.07402344,192512,192512,935.5,0,0.0003992542,1.8304558,0.9227495491504669,559,-0.0031771609,0.006094093,-59.861681659999995,385.02263832092285,94
95,PP02-awake,0.07895508,194560,194560,934.95,0,0.00076119375,1.8199161,0.8837003409862518,566,-0.003586571,0.0066123097,-60.380986409999984,388.64012336730957,95
96,PP02-awake,0.09907226,196608,196608,933.97,0,0.00031684217,1.8091412,0.9032520726323128,443,-0.007094628,0.0077990913,-60.60053708999999,393.25445556640625,96
97,PP02-awake,0.072753906,198656,198656,933.62,0,0.00032829208,1.7903464,0.887936182320118,510,-0.0018945715,0.0058678137,-59.53330441000001,397.27099227905273,97
98,PP02-awake,0.076416016,200704,200704,931.82,0,0.00030669238,1.776639,0.9364203959703445,399,-0.0007020937,0.0062595927,-58.841556080000004,402.3944752216339,98
99,PP02-awake,0.06328125,202752,202752,930.87,0,0.0004686748,1.7856573,0.8991909772157669,500,-0.0021852527,0.0054601906,-58.134346319999985,406.48732328414917,99
100,PP02-awake,0.11616211,204800,204800,929.75,0,0.00031310524,1.8095556,0.9691508039832115,632,-0.00853022,0.009003459,-56.9797769,409.72431206703186,100
101,PP02-awake,0.07026367,206848,206848,927.24,0,0.00045202635,1.8389181,0.9007949605584145,496,-0.0046723187,0.0056092846,-55.414447040000006,459.58463644981384,101
102,PP02-awake,0.13022462,208896,208896,925.6,0,0.0067225667,1.8713039,0.3834298849105835,524,-0.0052430336,0.010488157,-55.25487081,463.48596000671387,102
103,PP02-awake,0.072949216,210944,210944,925.55,0,0.005434805,1.8881792,0.41115641593933105,383,0.00047407212,0.0061013224,-54.431727099999996,468.82948637008667,103
104,PP02-awake,0.09086914,212992,212992,919.16,0,0.00032687283,1.9114008,0.9335650503635406,514,-0.006159085,0.006926109,-52.06107446,472.8086597919464,104
105,PP02-awake,0.08862305,215040,215040,923.56,0,0.0001519557,1.9200977,0.9330725967884064,411,-0.0036136154,0.0068048337,-50.474110270000004,477.78895473480225,105
106,PP02-awake,0.07338867,217088,217088,927.88,0,0.0006897292,1.9110458,0.871607169508934,412,-0.0051229363,0.005895675,-48.47106530999999,482.75965094566345,106
107,PP02-awake,0.08759765,219136,219136,925.42,0,0.00057254743,1.9001732,0.863990068435669,611,-0.002829932,0.006956673,-48.48706995,486.1092255115509,107
108,PP02-awake,0.093164064,221184,221184,925.42,0,0.00055564113,1.8844366,0.8375684767961502,337,-0.0049001807,0.007374524,-49.5091798,492.1836488246918,108
109,PP02-awake,0.078222655,223232,223232,921.9,0,0.0054437956,1.8924282,0.43833833932876587,471,0.0010029876,0.0068491437,-50.25048002999999,496.5245006084442,109
110,PP02-awake,0.08613281,225280,225280,920.9,0,0.00041894187,1.9143374,0.9024241715669632,472,-0.005583298,0.006614282,-48.60497592000001,500.8584418296814,110
111,PP02-awake,0.11005859,227328,227328,921.67,0,0.009203701,1.9365928,0.4220864176750183,536,-0.013789078,0.013083543,-51.12162974999999,504.67619037628174,111
112,PP02-awake,0.11743164,229376,229376,933.28,0,0.00063039415,1.9377072,0.8868024423718452,449,-0.0071924776,0.008826812,-48.602504259999996,509.22982931137085,112
113,PP02-awake,0.08710937,231424,231424,933.28,0,0.0009869946,1.9280478,0.8830681070685387,546,-0.008990078,0.0069273054,-48.45480335000001,512.9762842655182,113
114,PP02-awake,0.10751953,233472,233472,933.43,0,0.000490112,1.9133034,0.9176736399531364,447,-0.0068380646,0.008461108,-44.72523821000001,517.5497605800629,114
115,PP02-awake,0.06318359,235520,235520,927.36,0,0.014235446,1.9259787,0.30836862325668335,545,-0.0032254062,0.005322254,-45.92513007999999,521.3040409088135,115
116,PP02-awake,0.0793457,237568,237568,924.77,0,0.00048105506,1.9461095,0.8536342233419418,487,-0.00630206,0.0063599115,-44.12978322,525.5011920928955,116
117,PP02-awake,0.08046875,239616,239616,923.08,0,0.0007376642,1.9310262,0.9215282201766968,482,-0.0068622692,0.006257283,-44.06897083,529.7431716918945,117
118,PP02-awake,0.12211914,241664,241664,921.01,0,0.004995584,1.9052715,0.6976553201675415,602,-0.0037847732,0.009355747,-43.95402524,533.1428327560425,118
119,PP02-awake,0.079589844,243712,243712,913.9,0,0.012430682,1.9021088,0.5339547693729401,603,0.00040071146,0.0065334155,-43.778402670000006,536.5364136695862,119
