EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.5729157,69600,200.0,-1034.7918606192009,36.205475091934204,0.011753471,0.011753471,348,9.298324584960938e-06,68,0,0.005894582,0.0
5,1.5805073,70600,200.0,-1021.2553614274381,36.674360036849976,0.011444455,0.011444455,353,7.152557373046875e-06,69,0,0.006352323,0.0
5,1.5748904,71600,200.0,-1021.5729342532031,37.13781499862671,0.017734766,0.017734766,358,9.059906005859375e-06,70,0,0.006945264,0.0
5,1.5475385,72600,200.0,-1039.6799384002766,37.62213706970215,0.015965544,0.015965544,363,7.987022399902344e-06,71,0,0.008285223,0.0
5,1.5598431,73600,200.0,-1025.7931174810897,38.09000492095947,0.012723323,0.012723323,368,3.039836883544922e-06,72,0,0.005181333,0.0
5,1.5878927,74600,200.0,-1052.9646559095572,38.56289601325989,0.018565096,0.018565096,373,5.424022674560547e-06,73,0,0.0069713644,0.0
5,1.5794659,75600,200.0,-1065.4814625616984,39.02279305458069,0.009960439,0.009960439,378,5.364418029785156e-06,74,0,0.005196166,0.0
6,1.5417404,76800,200.0,-1054.7864857301106,39.47705411911011,0.013826232,0.013826232,384,5.602836608886719e-06,75,0,0.0068730395,0.0
5,1.5291423,77800,200.0,-1057.6062355711097,39.919126987457275,0.020415986,0.020415986,389,7.212162017822266e-06,76,0,0.008252334,0.0
5,1.5550823,78800,200.0,-1063.5034037717426,40.380228996276855,0.016385537,0.016385537,394,7.450580596923828e-06,77,0,0.0067447396,0.0
5,1.5231928,79800,200.0,-1079.6751033293233,40.83456611633301,0.014089646,0.014089646,399,5.781650543212891e-06,78,0,0.007462616,0.0
5,1.5582672,80800,200.0,-1029.5982845931844,41.29846501350403,0.018011786,0.018011786,404,5.543231964111328e-06,79,0,0.006895667,0.0
5,1.5213848,81800,200.0,-1035.559539437568,41.754953145980835,0.016309597,0.016309597,409,6.556510925292969e-06,80,0,0.0074294307,0.0
5,1.5039597,82800,200.0,-1006.0648802486397,42.217589139938354,0.017302861,0.017302861,414,7.927417755126953e-06,81,0,0.006502875,0.0
5,1.5306185,83800,200.0,-989.4905643088507,42.68271088600159,0.0197282,0.0197282,419,6.973743438720703e-06,82,0,0.006965587,0.0
5,1.5194608,84800,200.0,-952.8377440758652,43.139549016952515,0.021805279,0.021805279,424,8.761882781982422e-06,83,0,0.00902129,0.0
6,1.502859,86000,200.0,-917.9876448868068,43.595055103302,0.019752923,0.019752923,430,6.318092346191406e-06,84,0,0.0074608987,0.0
5,1.5102837,87000,200.0,-890.3678901233498,44.057069063186646,0.020920228,0.020920228,435,8.702278137207031e-06,85,0,0.007852692,0.0
5,1.4832971,88000,200.0,-857.5790296396266,44.52510929107666,0.016677756,0.016677756,440,9.119510650634766e-06,86,0,0.0075280555,0.0
5,1.4842128,89000,200.0,-852.2497650047537,44.97283124923706,0.020546382,0.020546382,445,7.987022399902344e-06,87,0,0.008037182,0.0
5,1.5030798,90000,200.0,-853.5398558199216,45.43327713012695,0.020617317,0.020617317,450,7.927417755126953e-06,88,0,0.008384429,0.0
5,1.5058924,91000,200.0,-846.905693330313,45.88383197784424,0.019655826,0.019655826,455,6.794929504394531e-06,89,0,0.00851403,0.0
