policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.0048862593,0.00025683767,0.9414951130747795,-13.440342830000002,46,94208,384,0,2.068495,94208,46,0.0058252765,PP02,0.06748047,181.92304468154907,761.2
-0.0038729757,0.00037245612,0.9196497276425362,-9.886631400000002,47,96256,427,0,2.0499158,96256,47,0.006817517,PP02,0.08408203,186.71593809127808,777.64
-0.0047940766,0.0022755254,0.5586879849433899,-6.796413770000002,48,98304,498,0,2.0372012,98304,48,0.006970229,PP02,0.08979492,190.82062458992004,790.42
-0.0051751547,0.00031154073,0.9337770044803619,-6.071478050000003,49,100352,355,0,2.0183225,100352,49,0.005889947,PP02,0.068164065,196.58878254890442,806.83
-0.005153772,0.000109786866,0.9573177509009838,-2.936494190000001,50,102400,443,0,1.9939368,102400,50,0.00628885,PP02,0.074365236,201.2050325870514,823.14
-0.005249223,0.0024123504,0.4779781699180603,-2.4094065299999987,51,104448,425,0,1.9830549,104448,51,0.0048718164,PP02,0.054785155,206.01572251319885,835.1
-0.0033872246,0.00019309424,0.9186843857169151,0.012703290000001317,52,106496,477,0,1.9622087,106496,52,0.00516123,PP02,0.054541014,210.30258703231812,851.85
-0.0057011615,0.00033954522,0.8298251330852509,1.5040019900000017,53,108544,463,0,1.9504197,108544,53,0.005150893,PP02,0.05419922,214.72402501106262,867.48
-0.005671085,0.0030872147,0.6235475838184357,3.0957176800000012,54,110592,505,0,1.949165,110592,54,0.007516995,PP02,0.0993164,218.77690243721008,885.98
-0.006278562,0.0069212182,0.020956695079803467,1.434100150000001,55,112640,605,0,1.9555886,112640,55,0.0056186276,PP02,0.064648435,222.16059017181396,899.23
-0.0027081112,9.7349264e-05,0.916580967605114,3.2721658500000013,56,114688,440,0,1.957834,114688,56,0.005728948,PP02,0.06801758,226.81268954277039,915.75
-0.0049384553,0.0025963872,0.5253264605998993,6.9383972200000015,57,116736,511,0,1.9396442,116736,57,0.006014272,PP02,0.07265625,230.8181712627411,926.22
-0.004498734,0.00014290768,0.9059379175305367,10.37055209,58,118784,479,0,1.9205856,118784,58,0.006690018,PP02,0.084667966,235.0937855243683,940.86
-0.0028387161,0.0027888212,0.632379800081253,12.735122530000002,59,120832,467,0,1.8993464,120832,59,0.005454775,PP02,0.060791016,239.47787356376648,944.35
-0.0033418133,0.004511566,0.21878737211227417,16.822296899999998,60,122880,491,0,1.8508883,122880,60,0.006312337,PP02,0.06982422,243.64220476150513,946.5
-0.0016261333,0.007341238,0.31076037883758545,20.73685896,61,124928,516,0,1.8184172,124928,61,0.006623461,PP02,0.07954101,247.60674142837524,946.98
-0.002608689,0.00063757907,0.7320490181446075,21.99009974,62,126976,432,0,1.7796284,126976,62,0.006714651,PP02,0.07841797,252.34678483009338,946.98
-0.0060361354,0.0051786015,0.6718803346157074,23.66364321,63,129024,639,0,1.7395045,129024,63,0.007508426,PP02,0.091845706,255.55042505264282,940.81
-0.006089802,0.00319701,0.3760144114494324,27.407517130000002,64,131072,435,0,1.6999239,131072,64,0.008125029,PP02,0.099658206,260.25265407562256,938.86
-0.0074795545,0.0042099003,0.6634308397769928,27.168289160000004,65,133120,512,0,1.6762993,133120,65,0.007600975,PP02,0.087939456,264.2506673336029,937.42
-0.0019499346,0.003235716,0.796485111117363,28.781946870000002,66,135168,679,0,1.667502,135168,66,0.005846602,PP02,0.06772461,267.2670028209686,941.55
-0.0038988453,0.009187234,0.30740123987197876,29.260140019999998,67,137216,539,0,1.694227,137216,67,0.0067320717,PP02,0.07114258,271.0625796318054,929.68
-0.0047930228,0.0040311855,0.5036640763282776,31.495520900000002,68,139264,417,0,1.6839201,139264,68,0.0096905995,PP02,0.12314453,275.9682865142822,924.75
0.000970189,0.003103251,0.5249196588993073,33.085594910000005,69,141312,399,0,1.6378227,141312,69,0.005197121,PP02,0.05620117,281.0894296169281,926.91
-0.0026045465,0.0003635458,0.681777149438858,33.733715720000006,70,143360,590,0,1.611105,143360,70,0.0058254497,PP02,0.06992187,284.55610179901123,926.91
-0.0056804484,0.00011538308,0.9398344829678535,33.769736310000006,71,145408,354,0,1.5825346,145408,71,0.008336658,PP02,0.10463867,290.33299350738525,926.91
-0.007959498,0.008374335,0.16301608085632324,31.62901296,72,147456,431,0,1.5801318,147456,72,0.007965353,PP02,0.09169922,295.077383518219,920.9
-0.008267385,0.005167085,0.4142066240310669,33.18534469,73,149504,403,0,1.5870091,149504,73,0.0094703045,PP02,0.12817383,300.15118622779846,910.99
-0.008409722,0.0023697237,0.6421538293361664,33.180335570000004,74,151552,605,0,1.5631247,151552,74,0.010024626,PP02,0.1317871,303.533371925354,907.75
0.00028371243,0.00021885612,0.9220377504825592,33.286069080000004,75,153600,436,0,1.5392504,153600,75,0.00614467,PP02,0.07724609,308.22597575187683,907.75
-0.0061973315,0.0016147669,0.2910219430923462,33.326885919999995,76,155648,534,0,1.5423626,155648,76,0.007824794,PP02,0.08935547,312.0581784248352,907.75
-0.0046774573,0.004688333,0.45039910078048706,34.46641336,77,157696,486,0,1.5271218,157696,77,0.009502732,PP02,0.12177734,316.2684621810913,905.81
-0.0028838015,0.002482274,0.6920284628868103,36.78351513,78,159744,490,0,1.4963961,159744,78,0.00469106,PP02,0.05283203,320.4465003013611,900.44
-0.002069785,0.0032578006,0.3824395537376404,37.355587619999994,79,161792,516,0,1.4476091,161792,79,0.0054629985,PP02,0.057861328,324.41229796409607,894.81
-0.0074805105,0.0075416425,0.4443378448486328,35.391967619999996,80,163840,551,0,1.4220358,163840,80,0.008921647,PP02,0.10317383,328.1240677833557,890.93
-0.006813609,0.013316864,0.21550524234771729,32.299808979999995,81,165888,653,0,1.4457601,165888,81,0.0059581427,PP02,0.06635742,331.2560305595398,880.15
-0.0035877198,0.022020996,0.13597601652145386,32.329983729999995,82,167936,686,0,1.4408977,167936,82,0.0087877875,PP02,0.10917969,334.2417299747467,854.48
-0.003617409,0.0036009036,0.5048105120658875,34.088032809999994,83,169984,448,0,1.4072567,169984,83,0.0052352687,PP02,0.060253907,338.8052043914795,849.36
-0.004163037,0.005829137,0.5410629510879517,35.429557700000004,84,172032,584,0,1.3798597,172032,84,0.01063933,PP02,0.13554688,342.31142354011536,841.91
-0.0028103723,0.004958835,0.5000965297222137,32.86097651,85,174080,581,0,1.3702648,174080,85,0.009115167,PP02,0.1206543,345.835946559906,835.52
-0.005300624,0.009832153,0.4364444613456726,31.606243359999997,86,176128,641,0,1.3761352,176128,86,0.007864619,PP02,0.09697266,349.0306553840637,819.71
-0.00412316,0.009836964,0.5110914409160614,30.937163579999996,87,178176,557,0,1.3768983,178176,87,0.010545571,PP02,0.13349609,352.70346570014954,812.91
-0.0015494273,0.0044144494,0.6392103433609009,30.005656260000002,88,180224,452,0,1.3886775,180224,88,0.00838096,PP02,0.09765625,357.2319691181183,806.74
-0.0005602815,0.00774433,0.450245201587677,28.990997289999996,89,182272,477,0,1.3948303,182272,89,0.006211751,PP02,0.07709961,361.52097845077515,794.57
-0.010960576,0.01655878,0.3831437826156616,31.254309929999994,90,184320,585,0,1.3692863,184320,90,0.008730719,PP02,0.10551758,365.01980996131897,780.23
-0.012381836,0.019336458,0.5304903984069824,27.968508069999995,91,186368,671,0,1.3472425,186368,91,0.009715667,PP02,0.119384766,368.06966853141785,758.39
-0.0022832903,0.0043671327,0.7148723304271698,32.25356426999999,92,188416,624,0,1.33934,188416,92,0.0075745783,PP02,0.09077148,371.3509130477905,751.63
-0.0073460317,0.0038115617,0.7405771911144257,31.4353242,93,190464,486,0,1.3312361,190464,93,0.008242081,PP02,0.107226565,375.5637288093567,739.16
-0.0049788347,0.0043779863,0.6791564524173737,29.113168779999995,94,192512,411,0,1.3525684,192512,94,0.007445445,PP02,0.090625,380.54328775405884,737.93
-0.0030085365,0.009159833,0.8381293714046478,24.771787789999998,95,194560,622,0,1.3614886,194560,95,0.008413149,PP02,0.10258789,383.83415842056274,710.31
-0.00809522,0.011997021,0.6470756828784943,23.400745020000002,96,196608,561,0,1.34664,196608,96,0.00722392,PP02,0.093652345,387.47943019866943,701.77
-0.0036351879,0.008493652,0.8652306795120239,20.215029990000005,97,198656,579,0,1.3258642,198656,97,0.0072791865,PP02,0.088330075,391.01204013824463,689.41
-0.0037519273,0.0061778873,0.7150335013866425,20.654678290000003,98,200704,483,0,1.3163916,200704,98,0.006549464,PP02,0.080517575,395.24940180778503,688.9
-0.0055241804,0.0213303,0.637704998254776,21.821522369999997,99,202752,698,0,1.3183258,202752,99,0.009063493,PP02,0.12333985,398.1825683116913,671.49
-0.00020400455,0.0068979515,0.39580655097961426,23.765565610000003,100,204800,565,0,1.3031362,204800,100,0.0054519405,PP02,0.06337891,401.80281233787537,673.34
-0.011015212,0.011978607,0.2685614824295044,21.29489645,101,206848,538,0,1.2899525,206848,101,0.009680333,PP02,0.11264648,425.92215371131897,672.54
0.0009038329,0.004738883,0.23102819919586182,20.194429220000004,102,208896,447,0,1.2821385,208896,102,0.007403375,PP02,0.0902832,430.49912309646606,668.81
-0.0013309222,0.0051227333,0.508274108171463,20.9155448,103,210944,469,0,1.2642415,210944,103,0.0067213653,PP02,0.08227539,434.8654203414917,666.61
-0.0021596337,0.0047199256,0.8247598707675934,20.524744209999998,104,212992,578,0,1.2533314,212992,104,0.0072993115,PP02,0.086035155,438.4033567905426,653.54
