optimgain,surrgain,entloss,entropy,EpisodesSoFar,EpRewMean,EpThisIter,trial,meankl,TimestepsSoFar,TimeElapsed,ev_tdlam_before,Iteration,EpLenMean
0.021866245,0.021866245,0.0,1.4213582,153,-1139.2686425387212,5,0,0.0063830363,30600,15.941248893737793,5.3048133850097656e-05,30,200.0
0.013062002,0.013062002,0.0,1.3665882,158,-1114.7715343668362,5,0,0.006768351,31600,16.466219902038574,6.455183029174805e-05,31,200.0
0.013256774,0.013256774,0.0,1.3082995,163,-1143.4882632256722,5,0,0.0090889605,32600,16.987404108047485,3.3020973205566406e-05,32,200.0
0.012014225,0.012014225,0.0,1.2890202,168,-1155.0101044724165,5,0,0.0059164185,33600,17.465970993041992,4.792213439941406e-05,33,200.0
0.013190465,0.013190465,0.0,1.340618,174,-1184.2666087988314,6,0,0.006274756,34800,18.016323804855347,4.5180320739746094e-05,34,200.0
0.013226501,0.013226501,0.0,1.4024681,179,-1170.0882773605204,5,0,0.0071602836,35800,18.51507306098938,3.993511199951172e-05,35,200.0
0.018956743,0.018956743,0.0,1.3992918,184,-1164.3308938144937,5,0,0.008246719,36800,18.986862897872925,4.38690185546875e-05,36,200.0
0.015482636,0.015482636,0.0,1.3511566,189,-1188.0027796382903,5,0,0.0075508803,37800,19.460429906845093,4.947185516357422e-05,37,200.0
0.015311556,0.015311556,0.0,1.3189675,194,-1193.6902528371013,5,0,0.006436644,38800,19.924762964248657,4.589557647705078e-05,38,200.0
0.022221886,0.022221886,0.0,1.3247993,199,-1207.2964068129172,5,0,0.0073586693,39800,20.401936769485474,3.2901763916015625e-05,39,200.0
0.015892947,0.015892947,0.0,1.3056641,204,-1177.942086603373,5,0,0.0071879933,40800,20.876811027526855,3.832578659057617e-05,40,200.0
0.022185415,0.022185415,0.0,1.3143003,209,-1142.3680329134731,5,0,0.008008411,41800,21.34306788444519,2.9385089874267578e-05,41,200.0
0.014986074,0.014986074,0.0,1.3632402,215,-1090.1645406095802,6,0,0.008056492,43000,21.814913034439087,3.522634506225586e-05,42,200.0
0.014677411,0.014677411,0.0,1.3957318,220,-1072.8529820982583,5,0,0.0071100644,44000,22.30343770980835,2.9027462005615234e-05,43,200.0
