nupdates,value_loss,total_timesteps,trial,Name,fps,EpRewMean,Iteration,approxkl,EpLenMean,explained_variance,policy_loss,serial_timesteps,time_elapsed,loss_ent,clipfrac
81,0.0017278896,165888,0,PP02,1305,-7.1659359400000024,81,0.012504427,1232.05,0.611701101064682,-0.026638722,165888,133.2109887599945,4.4988317,0.17792968
82,0.021226015,167936,0,PP02,1317,-4.514616050000003,82,0.013453904,1218.48,0.8163523226976395,-0.021177355,167936,134.76539492607117,4.4824886,0.17905274
83,0.028995091,169984,0,PP02,1311,-1.7931211499999986,83,0.0134024415,1207.19,0.8789907991886139,-0.023901591,169984,136.32730507850647,4.4692636,0.17543945
84,0.0013458326,172032,0,PP02,1302,1.0570589899999998,84,0.013285615,1207.19,0.6776908338069916,-0.02737908,172032,137.90010333061218,4.447898,0.19418946
85,0.0010312024,174080,0,PP02,1318,3.5494149500000005,85,0.011836486,1207.19,0.7901396602392197,-0.02245777,174080,139.45411014556885,4.4252276,0.16577148
86,0.06668644,176128,0,PP02,1294,5.78799106,86,0.010718879,1196.05,-0.08634734153747559,-0.016978491,176128,141.03640007972717,4.4227953,0.1430664
87,0.09796975,178176,0,PP02,1295,10.249685609999998,87,0.015493134,1194.93,0.3003730773925781,-0.018909873,178176,142.61794757843018,4.420172,0.14658204
88,0.001682153,180224,0,PP02,1306,13.050371159999997,88,0.013193535,1194.93,0.6261625289916992,-0.026069662,180224,144.1853175163269,4.3974905,0.19150391
89,0.022538394,182272,0,PP02,1302,16.39595255,89,0.01224531,1198.34,0.812619224190712,-0.019298255,182272,145.7577567100525,4.3732843,0.17133789
90,0.0139989015,184320,0,PP02,1295,19.76319516,90,0.012448649,1213.79,0.8910916894674301,-0.02352458,184320,147.33873081207275,4.378581,0.16289063
91,0.08035503,186368,0,PP02,1289,22.05587510999999,91,0.012411087,1188.16,0.6004476547241211,-0.01676971,186368,148.92679691314697,4.3847747,0.17006835
92,0.0016779021,188416,0,PP02,1316,24.83619178,92,0.013147342,1188.16,0.6786069273948669,-0.030038917,188416,150.48256373405457,4.375895,0.18378906
93,0.04243545,190464,0,PP02,1305,29.131151449999994,93,0.012320308,1200.37,0.5129682421684265,-0.021497233,190464,152.0517590045929,4.379819,0.1649414
94,0.0016534418,192512,0,PP02,1287,31.756341589999998,94,0.0149606215,1200.37,0.6745156347751617,-0.026068848,192512,153.6423258781433,4.3552794,0.2043457
95,0.021507645,194560,0,PP02,1311,35.45948202,95,0.014593912,1193.74,0.8134444206953049,-0.02083921,194560,155.20457673072815,4.3625426,0.19716796
96,0.0017209479,196608,0,PP02,1317,39.14922942,96,0.013801287,1197.56,0.49860280752182007,-0.028921867,196608,156.7589979171753,4.350207,0.19824219
97,0.0017152911,198656,0,PP02,1314,41.850734259999996,97,0.013881998,1196.76,0.5616943538188934,-0.02421052,198656,158.31713461875916,4.3147764,0.19042969
98,0.07005413,200704,0,PP02,1315,44.97577157,98,0.017656121,1175.91,0.6979008913040161,-0.024511289,200704,159.87417197227478,4.288131,0.21767578
99,0.0027316285,202752,0,PP02,1320,50.60313543000001,99,0.014959139,1173.57,0.3017504811286926,-0.025308464,202752,161.42585372924805,4.255116,0.20751953
100,0.026145846,204800,0,PP02,1322,52.36574927000001,100,0.013148569,1176.2,0.7903361022472382,-0.02295107,204800,162.9749300479889,4.224267,0.17167969
101,0.0015882531,206848,0,PP02,1283,56.07705666,101,0.014084454,1187.92,0.4976770281791687,-0.027300175,206848,208.12826347351074,4.1866064,0.19316407
102,0.0017984251,208896,0,PP02,1311,58.748433299999995,102,0.013017222,1186.38,0.3696458339691162,-0.023983914,208896,209.68977046012878,4.1605806,0.17958984
103,0.04333453,210944,0,PP02,1288,63.58866714999999,103,0.013426048,1185.14,0.8351233154535294,-0.018020084,210944,211.27949476242065,4.158662,0.18696289
104,0.0021171025,212992,0,PP02,1307,65.92784522,104,0.013106716,1184.55,0.5169343948364258,-0.027268935,212992,212.84774470329285,4.1579266,0.18759766
105,0.02226703,215040,0,PP02,1303,67.24669546999999,105,0.012950842,1181.37,0.8378581553697586,-0.017893616,215040,214.41903162002563,4.1559644,0.17641601
106,0.0029126483,217088,0,PP02,1292,73.03918845,106,0.014881271,1182.17,0.3852362632751465,-0.02013027,217088,216.0043821334839,4.14918,0.20170899
