#{"t_start": 1523010276.16183, "env_id": "RockSample"}
r,l,t
-1,1,11.827811
-1,9,11.832336
-1,3,11.834033
-2,4,11.83834
-4,16,11.848607
-1,15,11.856429
-5,19,11.866846
-1,3,11.868255
-1,3,11.869639
-1,1,11.870155
-2,10,11.874622
-8,26,11.886743
-2,4,11.888813
0,29,11.902927
-4,14,11.909333
-2,4,11.911287
-1,18,11.920396
-1,1,11.920941
-1,4,11.922963
-1,2,11.923926
-1,1,11.924436
-1,1,11.924941
-4,10,11.930084
-1,5,11.932497
-1,1,11.933016
-1,1,11.933522
-2,19,11.942096
-5,18,11.950501
-1,1,11.951045
-1,5,11.953295
0,11,11.958342
-1,1,11.958879
-1,8,11.962995
-3,5,11.965683
-1,18,11.974622
-1,2,11.975969
-1,1,11.976567
-1,8,11.981151
-1,1,11.981964
-1,7,11.9854
-2,9,11.990111
-1,5,11.992508
-2,3,11.994033
-1,2,11.995
-1,1,11.995514
-1,1,11.996151
-1,2,11.997368
-1,2,11.998898
-1,3,12.000353
-3,4,12.002259
-4,18,12.010754
-2,5,12.013287
-3,12,12.021861
-1,1,12.022415
-1,7,12.025536
-1,3,12.026965-2,9,12.386991
-3,8,12.392208
-3,9,12.396561
-9,51,12.418791
-1,1,12.419239
-1,2,12.419983
0,4,12.421443
-1,2,12.42229
-2,14,12.427378
-1,1,12.427807
-2,14,12.433384
-1,4,12.434845
-2,9,12.438071
-1,2,12.43884
-1,2,12.439655
-1,2-2,6,13.148044
-2,4,13.150126
-1,10,13.154609
-2,24,13.165597
-1,2,13.166598
-1,2,13.167558
-1,3,13.168938
0,9,13.173067
-1,8,13.17671
-1,4,13.178588
-2,7,13.181892
-1,2,13.182921
0,8,13.186637
-2,5,13.189038
-2,4,13.190932
-2,3,13.192446
-1,3,13.193841
-1,1,13.194349
-1,47,13.216709
-1,1,13.217473
-1,3,13.219362
-1,1,13.220012
-1,3,13.221723
-1,1,13.222317
-1,1,13.222904
-1,4,13.225176
-1,1,13.225782
-1,5,13.22953
-4,16,13.239198
-5,25,13.254725
-1,3,13.256332
-8,36,13.278332
1,9,13.285279
-3,13,13.291197
-1,3,13.292597
-1,16,13.302527
-1,8,13.30622
-1,6,13.310715
-5,7,13.314723
-1,1,13.315377
-4,13,13.323386
0,15,13.33259
-1,1,13.333152
-2,13,13.344195
-1,3,13.346959
-2,10,13.351742
-4,11,13.356764
-1,2,13.357807
-1,5,13.360158
0,12,13.366039
