fps,EpLenMean,clipfrac,loss_ent,time_elapsed,trial,Iteration,approxkl,explained_variance,policy_loss,Name,EpRewMean,serial_timesteps,value_loss,total_timesteps,nupdates
488,850.1,0.07197265,1.8240902,191.06138563156128,0,54,0.0059410497,0.938850786536932,-0.002989028,PP02-llm,28.470874730000006,110592,0.00041914213,110592,54
644,852.63,0.086083986,1.8091252,194.2406029701233,0,55,0.0073244004,0.38660043478012085,-0.0036038198,PP02-llm,29.375292389999995,112640,0.017637629,112640,55
508,852.63,0.07529297,1.7820387,198.27161264419556,0,56,0.006286713,0.9181963726878166,-0.0034146546,PP02-llm,30.193152289999997,114688,0.00071206724,114688,56
457,852.63,0.067871094,1.749336,202.74991011619568,0,57,0.005784764,0.9212253764271736,-0.0060081966,PP02-llm,31.019370629999997,116736,0.0003754397,116736,57
438,858.93,0.050683595,1.7188234,207.41930866241455,0,58,0.004777833,0.9212497919797897,-0.0023912182,PP02-llm,33.22495402999999,118784,0.0006222663,118784,58
476,858.93,0.107226565,1.6855667,211.71490621566772,0,59,0.007896854,0.9686543233692646,-0.0045662764,PP02-llm,34.462435119999995,120832,0.00026967376,120832,59
456,865.6,0.08222656,1.6793512,216.20398616790771,0,60,0.0065272213,0.9437444545328617,-0.0019376241,PP02-llm,35.57478288,122880,0.00068444206,122880,60
678,869.24,0.11147461,1.6660293,219.22080492973328,0,61,0.008753777,0.48928892612457275,-0.001913921,PP02-llm,39.988276469999995,124928,0.022997951,124928,61
526,881.32,0.08955078,1.6381233,223.1090748310089,0,62,0.0074755847,0.9430937357246876,-0.006146244,PP02-llm,43.62345138,126976,0.00045845687,126976,62
538,881.32,0.09560547,1.6315969,226.91338324546814,0,63,0.0075161993,0.9164592996239662,-0.0048595285,PP02-llm,44.36196113,129024,0.00059898145,129024,63
549,881.32,0.06704102,1.6290894,230.64358496665955,0,64,0.0057626935,0.9556431509554386,-0.002089398,PP02-llm,44.605040710000004,131072,0.0003609827,131072,64
518,878.05,0.09790039,1.61253,234.59429478645325,0,65,0.007635413,0.7386495172977448,-0.004068738,PP02-llm,44.93382445999999,133120,0.008279655,133120,65
555,878.05,0.11035156,1.6089604,238.27837657928467,0,66,0.008727184,0.9350444972515106,-0.0058092987,PP02-llm,46.721959420000005,135168,0.0004521114,135168,66
549,878.05,0.08222656,1.5952891,242.0085747241974,0,67,0.0067829667,0.9662506990134716,-0.0044900645,PP02-llm,47.94549878,137216,0.00032030296,137216,67
615,887.31,0.096191406,1.5505947,245.33378410339355,0,68,0.008005379,0.6817898154258728,-0.00030875442,PP02-llm,51.06690528,139264,0.017515875,139264,68
613,887.8,0.059179686,1.521877,248.67306423187256,0,69,0.005344807,0.6736213862895966,-0.0015809936,PP02-llm,51.65502686000001,141312,0.015980804,141312,69
462,887.8,0.12456055,1.5194166,253.0978720188141,0,70,0.009037018,0.9395201243460178,-0.005688953,PP02-llm,52.43725389,143360,0.00047699446,143360,70
620,884.64,0.08461914,1.5013134,256.39896035194397,0,71,0.0069173696,0.7556602209806442,-0.003173253,PP02-llm,53.460057770000006,145408,0.010259854,145408,71
525,885.57,0.09946289,1.4715834,260.2994840145111,0,72,0.007832428,0.9605925641953945,-0.004993777,PP02-llm,53.35557954,147456,0.0004157414,147456,72
582,880.9,0.1003418,1.4396629,263.81794142723083,0,73,0.008283976,0.8444444835186005,-0.0021032658,PP02-llm,54.609545739999994,149504,0.005031753,149504,73
540,873.98,0.099365234,1.3967322,267.61030411720276,0,74,0.007681419,0.48288166522979736,-0.002376813,PP02-llm,57.7743188,151552,0.017744355,151552,74
433,884.49,0.08154297,1.3664261,272.3372287750244,0,75,0.0064457087,0.8850632384419441,-0.0017707914,PP02-llm,59.93386149,153600,0.0009823546,153600,75
569,886.9,0.08701172,1.3652079,275.9362299442291,0,76,0.006990357,0.966284241527319,-0.005005169,PP02-llm,59.21501450999999,155648,0.00043777376,155648,76
671,887.3,0.081884764,1.3896363,278.9854619503021,0,77,0.0065785074,0.8475964963436127,-0.0015158835,PP02-llm,60.195434150000004,157696,0.000992853,157696,77
467,883.38,0.079882815,1.3967632,283.37028217315674,0,78,0.006507133,0.573169082403183,-0.004985578,PP02-llm,61.966935480000004,159744,0.02005161,159744,78
619,883.38,0.06967773,1.3713377,286.67420053482056,0,79,0.006307862,0.9479110836982727,-0.0011565845,PP02-llm,62.82954084,161792,0.0005413751,161792,79
636,875.84,0.09399414,1.3446236,289.8896379470825,0,80,0.0073616193,0.727324903011322,-0.00053129875,PP02-llm,63.305516399999995,163840,0.014429564,163840,80
700,872.97,0.06782226,1.338314,292.8116502761841,0,81,0.0056050275,0.6495759189128876,-0.0027321572,PP02-llm,62.67382117999998,165888,0.010366397,165888,81
535,870.3,0.09101562,1.3215134,296.63424253463745,0,82,0.007614734,0.48899179697036743,-0.0029284232,PP02-llm,63.91367442999999,167936,0.014107088,167936,82
433,870.3,0.06074219,1.2910955,301.3597912788391,0,83,0.005385785,0.955316461622715,-0.0011040345,PP02-llm,65.0067681,169984,0.00061495777,169984,83
706,866.94,0.10483398,1.2646828,304.2597005367279,0,84,0.008317159,0.6173774898052216,-0.0023550382,PP02-llm,64.8881289,172032,0.013156588,172032,84
594,869.62,0.08452149,1.2636697,307.7076966762543,0,85,0.00659959,0.908189594745636,-0.0030560286,PP02-llm,63.321006350000005,174080,0.0010923939,174080,85
554,865.23,0.08691406,1.2539897,311.4039981365204,0,86,0.0073260916,0.49045616388320923,-0.00355744,PP02-llm,63.56859297,176128,0.0083686765,176128,86
613,868.45,0.08227539,1.2081941,314.74023365974426,0,87,0.0068539316,0.6439084708690643,0.0002656201,PP02-llm,63.888394289999994,178176,0.018903738,178176,87
421,860.31,0.11586914,1.1880779,319.6007912158966,0,88,0.008767526,0.8231842219829559,-0.00087560527,PP02-llm,65.80419193,180224,0.0128631415,180224,88
662,853.27,0.076123044,1.1792697,322.69063925743103,0,89,0.0061720074,0.8999650478363037,0.00024356568,PP02-llm,67.04673091999999,182272,0.010364002,182272,89
605,854.58,0.10830078,1.1579001,326.07506585121155,0,90,0.008529593,0.7472745776176453,-0.0025759747,PP02-llm,68.27212589999998,184320,0.0103018,184320,90
521,856.38,0.087939456,1.1362214,330.00115752220154,0,91,0.007485283,0.9164796099066734,-0.004709936,PP02-llm,68.68686908,186368,0.0034100949,186368,91
619,850.86,0.117041014,1.1041262,333.30891132354736,0,92,0.009069033,0.4755655527114868,0.0006952872,PP02-llm,71.71493099999999,188416,0.02289038,188416,92
438,849.81,0.14628907,1.072386,337.9746882915497,0,93,0.011123099,0.39106810092926025,-0.0027402649,PP02-llm,72.72557567,190464,0.014675567,190464,93
539,846.0,0.09375,1.0333784,341.7686848640442,0,94,0.0076296628,0.6195836365222931,-0.001918739,PP02-llm,73.693502,192512,0.016703997,192512,94
457,842.09,0.0953125,0.9951738,346.2417645454407,0,95,0.007914018,0.70063117146492,-0.0017289955,PP02-llm,73.82618363,194560,0.011071945,194560,95
617,846.07,0.16586915,0.9536449,349.55618238449097,0,96,0.012925466,0.49845343828201294,-0.0056348336,PP02-llm,76.93919959,196608,0.02794393,196608,96
422,845.48,0.13110352,0.9070635,354.39936923980713,0,97,0.010118188,0.25310128927230835,-0.0002322305,PP02-llm,78.82689499,198656,0.036447745,198656,97
444,845.15,0.12241211,0.8771679,359.00892519950867,0,98,0.009448114,0.49735939502716064,0.0003652302,PP02-llm,79.46210343,200704,0.014790195,200704,98
583,837.35,0.09633789,0.86036664,362.517808675766,0,99,0.007505818,0.50141441822052,0.00034098202,PP02-llm,81.27883322000001,202752,0.019714018,202752,99
488,835.7,0.099853516,0.8419976,366.70638132095337,0,100,0.0078013716,0.6693300306797028,-0.0011442739,PP02-llm,82.68716601,204800,0.011694227,204800,100
807,828.42,0.1352539,0.80096114,391.4199688434601,0,101,0.010976901,0.6227894425392151,-0.0048219613,PP02-llm,84.55771589,206848,0.019556403,206848,101
700,826.63,0.10849609,0.7530551,394.34419107437134,0,102,0.008335253,0.8018366992473602,-0.00023311004,PP02-llm,84.31499286,208896,0.0129183205,208896,102
532,813.17,0.10219727,0.7107363,398.192266702652,0,103,0.008431467,0.8155664056539536,-0.0001601785,PP02-llm,86.20338677,210944,0.013243189,210944,103
568,805.57,0.09970703,0.66207105,401.79709577560425,0,104,0.00804069,0.5859756171703339,0.0003407291,PP02-llm,89.19519028999997,212992,0.018601958,212992,104
673,789.69,0.099609375,0.62836635,404.8374879360199,0,105,0.008142736,0.5849763453006744,0.00066327915,PP02-llm,93.36380049999998,215040,0.029296886,215040,105
688,785.85,0.13500977,0.6259002,407.8140757083893,0,106,0.011380581,0.7147308886051178,-0.0014691502,PP02-llm,93.53290435999997,217088,0.013388139,217088,106
488,787.17,0.117285155,0.6283601,412.00802731513977,0,107,0.008887403,0.6808828711509705,-0.0029015287,PP02-llm,93.71316190000002,219136,0.016842544,219136,107
664,774.57,0.09277344,0.6005603,415.09212279319763,0,108,0.0074260915,0.8978271633386612,0.0025133765,PP02-llm,97.54207826,221184,0.012322438,221184,108
667,772.4,0.114550784,0.58224064,418.1605303287506,0,109,0.009118049,0.8880378305912018,-0.0007537437,PP02-llm,99.77729119999996,223232,0.013487825,223232,109
647,756.49,0.12739258,0.5509149,421.3229241371155,0,110,0.011145929,0.8873429521918297,-0.005725745,PP02-llm,101.34303257999998,225280,0.012715277,225280,110
667,746.8,0.1274414,0.52752864,424.389794588089,0,111,0.010282644,0.9390603341162205,-0.00056519045,PP02-llm,102.67070382,227328,0.0084054805,227328,111
582,729.38,0.115234375,0.51452035,427.90653443336487,0,112,0.009114826,0.898959182202816,-0.00034644923,PP02-llm,104.27212628000001,229376,0.013422197,229376,112
567,715.68,0.13481446,0.47426778,431.51769518852234,0,113,0.010614955,0.9229928776621819,-0.0019564722,PP02-llm,104.92998246,231424,0.008531396,231424,113
440,718.06,0.1262207,0.44513518,436.1641583442688,0,114,0.009421042,0.8931900411844254,0.0008461938,PP02-llm,103.75968236000004,233472,0.010739314,233472,114
559,719.47,0.112695314,0.45353788,439.82734179496765,0,115,0.008342274,0.9181306883692741,0.0014148287,PP02-llm,104.39849050000002,235520,0.008919462,235520,115
729,709.02,0.11430664,0.45911723,442.63429141044617,0,116,0.009278308,0.8243575692176819,0.001960943,PP02-llm,107.15584923000002,237568,0.015682828,237568,116
635,699.41,0.11577149,0.45190072,445.8560175895691,0,117,0.009336079,0.8150455951690674,-0.0036354787,PP02-llm,108.06038214,239616,0.020253193,239616,117
628,695.29,0.13198242,0.41996947,449.11741828918457,0,118,0.01063781,0.8349599242210388,-0.005635774,PP02-llm,108.82822293,241664,0.0128121255,241664,118
554,686.9,0.1159668,0.3851031,452.8094208240509,0,119,0.009776187,0.9323391914367676,8.755377e-05,PP02-llm,113.1147095,243712,0.008862297,243712,119
622,682.59,0.10219727,0.36051732,456.09710907936096,0,120,0.008093068,0.9018514677882195,-0.0015498666,PP02-llm,115.13303255999999,245760,0.011791563,245760,120
541,678.06,0.10957031,0.3578161,459.876398563385,0,121,0.008514522,0.8608238399028778,-0.0010504819,PP02-llm,115.89581739000003,247808,0.015613939,247808,121
658,683.89,0.10322265,0.3681302,462.9874527454376,0,122,0.008004142,0.9011287838220596,0.00053604675,PP02-llm,115.84270604000001,249856,0.0069576525,249856,122
680,675.39,0.12895508,0.34669906,465.9977867603302,0,123,0.0102225905,0.8928887248039246,-0.0025765444,PP02-llm,117.54530783,251904,0.013324405,251904,123
640,662.73,0.123535156,0.30530715,469.1951234340668,0,124,0.009324138,0.9182460233569145,0.0006600177,PP02-llm,118.79824841,253952,0.01013679,253952,124
561,654.22,0.12421875,0.27535218,472.8430423736572,0,125,0.009529667,0.9395900256931782,-0.0025972917,PP02-llm,118.83185918,256000,0.0064251334,256000,125
552,648.78,0.12797852,0.2511242,476.5473518371582,0,126,0.009965343,0.9443481862545013,0.00079376716,PP02-llm,120.07575803,258048,0.010047489,258048,126
581,635.86,0.14521484,0.21367776,480.0709114074707,0,127,0.011923946,0.9430438689887524,-0.002994764,PP02-llm,121.3036857,260096,0.008566701,260096,127
659,630.14,0.11079101,0.20990011,483.1744740009308,0,128,0.008839154,0.877400703728199,0.00095706864,PP02-llm,119.32865131,262144,0.014495289,262144,128
505,626.5,0.12431641,0.24231085,487.22720193862915,0,129,0.009560137,0.9272004663944244,0.0004860232,PP02-llm,119.85765067,264192,0.010277396,264192,129
701,613.71,0.13896485,0.24435993,490.1466176509857,0,130,0.014163604,0.8798770681023598,-0.0022522658,PP02-llm,118.89981384000001,266240,0.013854032,266240,130
668,611.69,0.12109375,0.23391843,493.21104526519775,0,131,0.009651807,0.9686721414327621,-0.0011430399,PP02-llm,118.71888058,268288,0.0042271516,268288,131
453,612.0,0.12880859,0.24164534,497.7302145957947,0,132,0.00989098,0.9136875495314598,-0.0019409626,PP02-llm,119.41993994,270336,0.011770434,270336,132
516,615.9,0.09682617,0.2541626,501.6957437992096,0,133,0.0076777614,0.9226455762982368,-0.0001481463,PP02-llm,119.26506732999998,272384,0.009124434,272384,133
526,612.28,0.11020508,0.25011963,505.5842094421387,0,134,0.008532134,0.8530282080173492,0.0010989786,PP02-llm,118.44179756000001,274432,0.022882637,274432,134
